entry,exit,period,cap,atr,regime,n,trades_per_year,excess,z,win,unit,per_trade_pct
STRUCTURE,bracket +3/−4 20b,holdout,all,5-8,all,264,980,-0.102,-0.8,0.53,ATR,-0.79
STRUCTURE,bracket +3/−4 20b,holdout,all,5-8,bull,239,887,-0.084,-0.6,0.531,ATR,-0.7
STRUCTURE,bracket +3/−4 20b,holdout,500M-2B,all,all,194,720,-0.453,-2.5,0.49,ATR,-1.86
STRUCTURE,bracket +3/−4 20b,holdout,500M-2B,all,bull,172,638,-0.32,-1.7,0.5,ATR,-1.49
STRUCTURE,bracket +3/−4 20b,holdout,2B-5B,all,all,424,1574,-0.148,-1.2,0.526,ATR,-0.62
STRUCTURE,bracket +3/−4 20b,holdout,2B-5B,all,bull,368,1366,0.078,0.6,0.557,ATR,0.18
STRUCTURE,bracket +3/−4 20b,holdout,2B-5B,3-5,all,174,646,-0.334,-1.7,0.511,ATR,-0.93
STRUCTURE,bracket +3/−4 20b,holdout,>5B,all,all,808,2999,0.323,3.8,0.593,ATR,0.92
STRUCTURE,bracket +3/−4 20b,holdout,>5B,all,bull,721,2676,0.49,5.7,0.619,ATR,1.53
STRUCTURE,bracket +3/−4 20b,holdout,>5B,<3,all,392,1455,0.543,4.3,0.628,ATR,1.26
STRUCTURE,bracket +3/−4 20b,holdout,>5B,<3,bull,367,1362,0.613,4.9,0.635,ATR,1.48
STRUCTURE,bracket +3/−4 20b,holdout,>5B,3-5,all,287,1065,0.058,0.4,0.537,ATR,0.18
STRUCTURE,bracket +3/−4 20b,holdout,>5B,3-5,bull,240,891,0.372,2.5,0.588,ATR,1.26
STRUCTURE,scalp +0.5/−3 10b,in-sample,all,all,all,4074,5613,0.132,8.8,0.865,ATR,0.55
STRUCTURE,scalp +0.5/−3 10b,in-sample,all,all,bull,2310,3183,0.085,4.4,0.851,ATR,0.28
STRUCTURE,scalp +0.5/−3 10b,in-sample,all,all,bear,1764,2430,0.194,8.3,0.883,ATR,0.9
STRUCTURE,scalp +0.5/−3 10b,in-sample,all,<3,all,1717,2366,0.108,4.3,0.865,ATR,0.28
STRUCTURE,scalp +0.5/−3 10b,in-sample,all,<3,bull,1060,1460,0.107,3.7,0.873,ATR,0.27
