tier,f,N,sample,final,cagr,max_dd,taken,signalled,per_week,avg_open,skip_no_slot,skip_held,skip_no_headroom,skip_atr_zero,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026
F,0.02,5,oos,196073.23936087426,0.2819900049563937,0.5273782647009164,89,1196,0.6292929292929293,4.556534508076358,939,96,72,0,,,,,,,,,0.5425285492414826,-0.11738902312907895,0.4401767280325206
F,0.02,10,full,46269405.03030879,0.8477316337322669,0.81172380522902,317,2902,0.6077786907696522,4.797533810660302,101,395,2089,0,0.016545583573125855,1.214595816438357,-0.2859898300889858,0.7654218910486548,9.566636761068832,0.7139242231806884,-0.6386123788283682,1.265066627948082,7.782434926955853,-0.268641030293575,0.7123458877683944
F,0.02,10,oos,248538.54771384425,0.39918884091566076,0.6438846628973331,100,1196,0.7070707070707072,5.1938325991189425,0,122,974,0,,,,,,,,,0.5728798839378919,-0.07720187800505296,0.712345891733801
F,0.02,20,full,50413186.53669644,0.8636546959835958,0.8117237173739809,314,2902,0.6020268419611066,4.830151153540175,0,397,2191,0,0.016545583573125855,1.214595816438357,-0.2859898300889858,0.7654218910486548,9.566636761068832,0.9072315311499011,-0.6386123780812432,1.2650666279480807,7.85468994444089,-0.289751032061761,0.7123458681427954
F,0.02,20,oos,248538.54771384425,0.39918884091566076,0.6438846628973331,100,1196,0.7070707070707072,5.1938325991189425,0,122,974,0,,,,,,,,,0.5728798839378919,-0.07720187800505296,0.712345891733801
G,0.005,5,full,392204.16343054763,0.14650407900477225,0.25314807802709793,376,26594,0.7208983840043823,3.7291169451073984,25915,303,0,0,0.0,0.16513577958408532,0.2395829921979915,0.1304753603454214,0.16258885073926965,0.14574747184657433,-0.07616371270445865,0.057054102724258815,0.40774793882331273,0.19371185407527092,0.09892296595009364
G,0.005,5,oos,161442.03595479933,0.19328869953408256,0.17433267829117494,111,8962,0.7848484848484849,4.596182085168869,8745,106,0,0,,,,,,,,,0.25370225195088536,0.17180398407495945,0.09892296595009364
G,0.005,10,full,1146940.4556253587,0.276431807936907,0.3759772726764894,658,26594,1.2615721720076691,6.52824184566428,15664,557,9715,0,0.0,0.25110019255371596,0.1048186214690856,0.08995973067603535,0.7998368546449532,0.08252534524184463,-0.08298258755892018,0.023433698121819724,1.0946810578050772,0.24970569722742053,0.590424944049168
G,0.005,10,oos,272723.0478105565,0.4479546241573471,0.30102050144693016,197,8962,1.3929292929292931,8.831130690161528,7128,212,1425,0,,,,,,,,,0.44306126052639727,0.1882939749279735,0.5904249440491682
G,0.005,20,full,3715979.404890149,0.43572689422682354,0.4963275546047038,769,26594,1.4743905779238564,8.226332537788386,1386,745,23694,0,0.0,0.25104415022978865,0.043225807628193724,0.08995973067603469,1.703998135576533,0.30952768120444385,-0.10433552319150119,0.375690456361524,2.9899376143313927,0.21052644253793162,0.2396079580030528
G,0.005,20,oos,613753.8444596276,0.9530893505385478,0.4520187679504516,244,8962,1.7252525252525255,11.713656387665198,449,308,7961,0,,,,,,,,,2.7769903096912296,0.3108832047538834,0.23960795800305323
G,0.01,5,full,825907.8587295265,0.23518165154788107,0.3938039188360759,366,26594,0.7017255546425637,3.706046141607001,25552,292,384,0,0.0,0.31586674821600935,0.39403244668990856,0.026910821320456302,0.3477028229864392,0.06827108794689396,-0.07506422656468659,0.05343015189471867,1.2268070656283077,0.20360838732521702,0.16614711699970863
G,0.01,5,oos,173579.45741125054,0.22563277890400402,0.32715790131536493,110,8962,0.7777777777777778,4.572687224669603,8635,99,118,0,,,,,,,,,0.3409450134377927,0.11002820475156994,0.16614711699970885
G,0.01,10,full,1934358.203759049,0.3449512622973283,0.5464580388662694,482,26594,0.9241303752396604,5.002784407319013,3633,446,22033,0,0.0,0.2820695086169449,0.16468152054923513,0.07947118220506044,1.5188282505418593,0.5856093692317323,-0.12556860855817453,0.26364388884514467,1.2848402385049429,0.25663530003297663,-0.0528979070620198
G,0.01,10,oos,401719.98859100114,0.6703641043658886,0.524084632609181,141,8962,0.9969696969696971,6.657856093979442,1357,197,7267,0,,,,,,,,,2.444164917904801,0.231523508922453,-0.052897907062020355
G,0.01,20,full,4168655.2252998096,0.4523328300154532,0.584854809414183,489,26594,0.9375513557929335,5.206443914081145,0,464,25641,0,0.0,0.2820695086169449,0.16468152054923513,0.07947118220506044,1.5188282505418593,0.6657038729574696,-0.12336542834790809,0.38374078144744095,3.9909090024868465,0.08115720529570991,-0.05826657656119061
G,0.01,20,oos,413923.1507034687,0.6889079754708476,0.584854809414183,151,8962,1.0676767676767678,6.941262848751836,0,221,8590,0,,,,,,,,,2.4418539940712725,0.27702467660735053,-0.058266576561191274
G,0.02,5,full,1870882.8753071541,0.34046945282562047,0.48892638992811,352,26594,0.6748835935360176,3.655131264916468,23513,300,2429,0,0.0,0.4613001764770823,0.39862144521897336,0.16521902037793978,0.6695559681864878,-0.005701060245558498,-0.1006755393281884,0.4338653117907685,1.406205593466189,0.3173173447867865,0.15780001184087689
G,0.02,5,oos,248686.08296802087,0.3994952150449682,0.5715216030058896,109,8962,0.7707070707070708,4.4375917767988255,7283,106,1464,0,,,,,,,,,0.9010889151320531,0.12983624468762445,0.1578000118408771
G,0.02,10,full,2903420.2742650737,0.40071923857475533,0.6858832001138101,364,26594,0.6978909887702,4.021877486077964,412,322,25496,0,0.0,0.4701506051778086,0.4319150267684968,0.16553121265855308,1.222472985827999,0.30147404143697254,-0.13358402452712004,0.8768276465109137,1.151162414934928,0.06715559151388573,0.09593080073034987
G,0.02,10,oos,256473.45878014297,0.41550649268620665,0.6563948428486751,121,8962,0.8555555555555556,4.863436123348017,67,115,8659,0,,,,,,,,,2.0095841700298145,-0.22094270174017616,0.09387207206974146
