suite,signal,exit,symbol,tf,net_profit_pct,profit_factor,win_rate,max_dd_pct,trades,avg_trade_pct,bh_pct,alpha_pct,tpw,bear_pnl_pct,bull_pnl_pct,short_pnl_pct,exposure_pct,robustness,overfit_risk,raw
homily,Dragon hole D,Hole broke down,NASDAQ:IREN,D,342.77,4.38,50.0,44.62,10.0,,90.92,251.85,0.0396,0.0,342.77,0.0,36.11,0.35,0.79,"C | IREN LIMITED | 1D ‖ {'Total PnL': '+34,277.17USD+342.77%', 'Max drawdown': '4,925.58USD44.62%', 'Profitable trades': '50.00%5/10', 'Profit factor': '4.38', 'Total trades': '10'}"
homily,Dragon hole D,Hole broke down,NASDAQ:ONDS,D,387.55,3.289,36.36,174.96,11.0,,-45.26,432.81,0.0267,-75.29,462.84,0.0,27.72,0.01,0.88,"C | Ondas Inc | 1D ‖ {'Total PnL': '+38,754.86USD+387.55%', 'Max drawdown': '17,496.07USD174.96%', 'Profitable trades': '36.36%4/11', 'Profit factor': '3.289', 'Total trades': '11'}"
homily,Dragon hole D,Hole broke down,NASDAQ:SLNH,D,395.59,3.199,40.0,58.57,15.0,,-94.96,490.55,0.033,7.19,388.39,0.0,28.47,0.18,0.83,"C | Soluna Holdings, Inc. | 1D ‖ {'Total PnL': '+39,558.75USD+395.59%', 'Max drawdown': '7,886.01USD58.57%', 'Profitable trades': '40.00%6/15', 'Profit factor': '3.199', 'Total trades': '15'}"
homily,Dragon hole D,Hole broke down,NASDAQ:CLSK,D,259.18,1.957,35.29,99.02,17.0,,-8.99,268.17,0.0379,-82.66,341.84,0.0,29.78,0.02,0.87,"C | CleanSpark, Inc. | 1D ‖ {'Total PnL': '+25,917.77USD+259.18%', 'Max drawdown': '10,963.01USD99.02%', 'Profitable trades': '35.29%6/17', 'Profit factor': '1.957', 'Total trades': '17'}"
homily,Dragon hole D,Chandelier 3 ATR,NASDAQ:MRNA,D,327.81,5.184,52.17,33.37,23.0,,728.17,-400.37,0.0567,113.37,214.43,0.0,18.57,1.28,0.75,"C | Moderna, Inc. | 1D ‖ {'Total PnL': '+32,780.51USD+327.81%', 'Max drawdown': '3,336.61USD33.37%', 'Profitable trades': '52.17%12/23', 'Profit factor': '5.184', 'Total trades': '23'}"
homily,Dragon hole D,Chandelier 3 ATR,NASDAQ:PLTR,D,157.49,3.047,42.86,37.93,14.0,,1769.89,-1612.4,0.045,30.08,127.41,0.0,24.22,0.66,0.8,"C | Palantir Technologies Inc. | 1D ‖ {'Total PnL': '+15,748.98USD+157.49%', 'Max drawdown': '3,792.52USD37.93%', 'Profitable trades': '42.86%6/14', 'Profit factor': '3.047', 'Total trades': '14'}"
homily,Dragon hole D,Chandelier 3 ATR,NASDAQ:NVDA,D,242.9,3.958,36.36,18.43,22.0,,4359.89,-4116.99,0.0484,231.85,11.05,0.0,30.23,1.09,0.83,"C | NVIDIA Corporation | 1D ‖ {'Total PnL': '+24,290.17USD+242.90%', 'Max drawdown': '3,523.52USD18.43%', 'Profitable trades': '36.36%8/22', 'Profit factor': '3.958', 'Total trades': '22'}"
homily,Dragon hole D,Chandelier 3 ATR,NASDAQ:INTC,D,130.21,2.658,37.5,53.93,24.0,,131.8,-1.6,0.0528,116.21,13.99,0.0,17.76,0.48,0.8,"C | Intel Corporation | 1D ‖ {'Total PnL': '+13,020.56USD+130.21%', 'Max drawdown': '5,620.08USD53.93%', 'Profitable trades': '37.50%9/24', 'Profit factor': '2.658', 'Total trades': '24'}"
homily,Dragon hole D,Chandelier 3 ATR,NASDAQ:IREN,D,239.78,2.264,25.0,37.81,20.0,,90.92,148.86,0.0793,0.0,239.78,0.0,22.26,0.85,0.8,"C | IREN LIMITED | 1D ‖ {'Total PnL': '+23,978.37USD+239.78%', 'Max drawdown': '8,770.62USD37.81%', 'Profitable trades': '25.00%5/20', 'Profit factor': '2.264', 'Total trades': '20'}"
homily,Dragon hole D,Chandelier 3 ATR,NASDAQ:ONDS,D,-75.67,0.497,31.25,150.55,16.0,,-45.26,-30.41,0.0388,-39.73,-35.94,0.0,15.87,0.0,0.84,"C | Ondas Inc | 1D ‖ {'Total PnL': '−7,566.99USD−75.67%', 'Max drawdown': '15,054.73USD150.55%', 'Profitable trades': '31.25%5/16', 'Profit factor': '0.497', 'Total trades': '16'}"
